dataset	epsilon	mu	delta	time	flocks	tag
beijing_alternative.csv	10	5	5	18.470	8147	bfe
beijing_alternative.csv	15	5	5	20.250	224	bfe
beijing_alternative.csv	20	5	5	23.415	9238	bfe
beijing_alternative.csv	25	5	5	29.438	45818	bfe
beijing_alternative.csv	30	5	5	43.909	191533	bfe
beijing_alternative.csv	35	5	5	73.870	525885	bfe
beijing_alternative.csv	40	5	5	160.997	1424783	bfe
beijing_alternative.csv	45	5	5	465.738	4618158	bfe
beijing_alternative.csv	50	5	5	708.207	6110427	bfe
beijing_alternative.csv	10	5	5	18.190	202	lcm
beijing_alternative.csv	15	5	5	20.245	140	lcm
beijing_alternative.csv	20	5	5	22.989	397	lcm
beijing_alternative.csv	25	5	5	27.215	1033	lcm
beijing_alternative.csv	30	5	5	33.094	1967	lcm
beijing_alternative.csv	35	5	5	42.222	3528	lcm
beijing_alternative.csv	40	5	5	52.922	6873	lcm
beijing_alternative.csv	45	5	5	69.448	12394	lcm
beijing_alternative.csv	50	5	5	92.503	19233	lcm
