dataset	epsilon	mu	delta	time	flocks	tag
beijing_original.csv	50	3	3	122.597	187455	bfe
beijing_original.csv	100	3	3	588.035	625680	bfe
beijing_original.csv	150	3	3	1786.163	1393216	bfe
beijing_original.csv	200	3	3	6014.120	5616598	bfe
beijing_original.csv	250	3	3	16994.150	16628029	bfe
beijing_original.csv	50	3	3	417.176	33694	fp1
beijing_original.csv	100	3	3	543.131	299228	fp1
beijing_original.csv	150	3	3	669.115	816276	fp1
beijing_original.csv	200	3	3	983.856	1867360	fp1
beijing_original.csv	250	3	3	2041.056	4373139	fp1
beijing_original.csv	50	3	3	794.029	172036	fp2
beijing_original.csv	100	3	3	1593.256	1922261	fp2
beijing_original.csv	150	3	3	3497.063	5972267	fp2
beijing_original.csv	200	3	3	11332.114	14894406	fp2
beijing_original.csv	50	3	3	107.641	33694	lcm
beijing_original.csv	100	3	3	519.034	299228	lcm
beijing_original.csv	150	3	3	1684.044	816276	lcm
beijing_original.csv	200	3	3	4783.390	1867360	lcm
beijing_original.csv	250	3	3	11746.147	4373139	lcm
