dataset	epsilon	mu	delta	time	flocks	tag
Tapas.csv	16	10	5	208.428	81	fp1
Tapas.csv	18	10	5	256.907	257	fp1
Tapas.csv	20	10	5	345.284	2081	fp1
Tapas.csv	22	10	5	407.638	2946	fp1
Tapas.csv	24	10	5	463.020	6988	fp1
Tapas.csv	26	10	5	521.250	14770	fp1
Tapas.csv	28	10	5	596.045	31509	fp1
Tapas.csv	16	10	5	209.302	223	fp2
Tapas.csv	18	10	5	257.896	748	fp2
Tapas.csv	20	10	5	348.452	5777	fp2
Tapas.csv	22	10	5	419.410	8359	fp2
Tapas.csv	24	10	5	461.514	22899	fp2
Tapas.csv	26	10	5	528.959	54557	fp2
Tapas.csv	28	10	5	612.131	145217	fp2
Tapas.csv	16	10	5	194.535	81	lcm
Tapas.csv	18	10	5	246.426	257	lcm
Tapas.csv	20	10	5	351.242	2081	lcm
Tapas.csv	22	10	5	437.361	2946	lcm
Tapas.csv	24	10	5	523.256	6988	lcm
Tapas.csv	26	10	5	685.722	14770	lcm
Tapas.csv	28	10	5	979.312	31509	lcm
