dataset	epsilon	mu	delta	time	flocks	tag
Oldenburg.csv	100	3	3	2.099	639	bfe
Oldenburg.csv	200	3	3	4.124	2755	bfe
Oldenburg.csv	300	3	3	7.879	11196	bfe
Oldenburg.csv	400	3	3	17.011	38088	bfe
Oldenburg.csv	500	3	3	44.805	137879	bfe
Oldenburg.csv	600	3	3	117.837	331804	bfe
Oldenburg.csv	700	3	3	325.748	734634	bfe
Oldenburg.csv	800	3	3	754.788	1453753	bfe
Oldenburg.csv	900	3	3	1780.252	3000252	bfe
Oldenburg.csv	1000	3	3	4784.791	6682974	bfe
Oldenburg.csv	100	3	3	3.116	109	fp1
Oldenburg.csv	200	3	3	4.460	523	fp1
Oldenburg.csv	300	3	3	6.176	2365	fp1
Oldenburg.csv	400	3	3	7.945	7825	fp1
Oldenburg.csv	500	3	3	10.249	21849	fp1
Oldenburg.csv	600	3	3	13.598	48988	fp1
Oldenburg.csv	700	3	3	20.073	97207	fp1
Oldenburg.csv	800	3	3	30.093	172702	fp1
Oldenburg.csv	900	3	3	55.428	309036	fp1
Oldenburg.csv	1000	3	3	120.105	550839	fp1
Oldenburg.csv	100	3	3	3.269	663	fp2
Oldenburg.csv	200	3	3	5.266	2683	fp2
Oldenburg.csv	300	3	3	7.374	16671	fp2
Oldenburg.csv	400	3	3	11.578	70153	fp2
Oldenburg.csv	500	3	3	21.621	242087	fp2
Oldenburg.csv	600	3	3	44.178	631687	fp2
Oldenburg.csv	700	3	3	98.482	1374758	fp2
Oldenburg.csv	800	3	3	221.480	2630373	fp2
Oldenburg.csv	900	3	3	543.089	4967433	fp2
Oldenburg.csv	1000	3	3	1351.184	8911587	fp2
Oldenburg.csv	100	3	3	2.081	109	lcm
Oldenburg.csv	200	3	3	3.740	523	lcm
Oldenburg.csv	300	3	3	6.462	2365	lcm
Oldenburg.csv	400	3	3	12.061	7825	lcm
Oldenburg.csv	500	3	3	25.031	21849	lcm
Oldenburg.csv	600	3	3	53.395	48988	lcm
Oldenburg.csv	700	3	3	118.485	97207	lcm
Oldenburg.csv	800	3	3	225.459	172702	lcm
Oldenburg.csv	900	3	3	525.456	309036	lcm
Oldenburg.csv	1000	3	3	1161.494	550839	lcm
