dataset	epsilon	mu	delta	time	flocks	tag
SJ25K60.csv	50	5	3	28.551	26	fp1
SJ25K60.csv	100	5	3	36.055	210	fp1
SJ25K60.csv	150	5	3	47.442	615	fp1
SJ25K60.csv	200	5	3	58.573	1537	fp1
SJ25K60.csv	250	5	3	69.891	3042	fp1
SJ25K60.csv	300	5	3	81.856	5466	fp1
SJ25K60.csv	350	5	3	94.968	8697	fp1
SJ25K60.csv	400	5	3	108.123	12958	fp1
SJ25K60.csv	50	5	3	29.358	89	fp2
SJ25K60.csv	100	5	3	37.146	870	fp2
SJ25K60.csv	150	5	3	48.457	2777	fp2
SJ25K60.csv	200	5	3	59.857	7104	fp2
SJ25K60.csv	250	5	3	72.140	14514	fp2
SJ25K60.csv	300	5	3	83.979	26877	fp2
SJ25K60.csv	350	5	3	96.775	44349	fp2
SJ25K60.csv	400	5	3	112.310	69168	fp2
SJ25K60.csv	50	5	3	24.255	26	lcm
SJ25K60.csv	100	5	3	32.204	210	lcm
SJ25K60.csv	150	5	3	43.963	615	lcm
SJ25K60.csv	200	5	3	57.558	1537	lcm
SJ25K60.csv	250	5	3	73.262	3042	lcm
SJ25K60.csv	300	5	3	94.128	5466	lcm
SJ25K60.csv	350	5	3	120.885	8697	lcm
SJ25K60.csv	400	5	3	157.273	12958	lcm
