dataset	epsilon	mu	delta	time	flocks	tag
Tapas.csv	10	10	5	104.580	0	bfe
Tapas.csv	15	10	5	233.801	1244	bfe
Tapas.csv	20	10	5	578.372	256347	bfe
Tapas.csv	25	10	5	1672.091	1277012	bfe
Tapas.csv	10	10	5	103.107	0	lcm
Tapas.csv	15	10	5	234.827	64	lcm
Tapas.csv	20	10	5	495.776	2081	lcm
Tapas.csv	25	10	5	807.203	9300	lcm
Tapas.csv	30	10	5	1769.600	49003	lcm
Tapas.csv	35	10	5	4030.746	177009	lcm
Tapas.csv	40	10	5	9237.491	487679	lcm
Tapas.csv	45	10	5	16748.363	908708	lcm
Tapas.csv	50	10	5	36777.352	1840337	lcm
